,Unnamed: 0,date,type,hnl,month
868,868,2023-01-18,Transporte,5827000.0,1
869,869,2023-01-19,Transporte,9198200.0,1
870,870,2023-01-20,Transporte,8393300.0,1
871,871,2023-01-21,Transporte,5817800.0,1
872,872,2023-01-22,Transporte,1138100.0,1
873,873,2023-01-23,Transporte,3714300.0,1
874,874,2023-01-24,Transporte,3266900.0,1
875,875,2023-01-25,Transporte,2231900.0,1
876,876,2023-01-26,Transporte,1782200.0,1
877,877,2023-01-27,Transporte,2651200.0,1
878,878,2023-01-28,Transporte,1056900.0,1
879,879,2023-01-29,Transporte,152100.0,1
880,880,2023-01-30,Transporte,191400.0,1
